       latitude      longitude observation     resiual  prediction  correction
       34.69025      138.76279     0.04650    -0.01691     0.06341     0.00000
       35.30554      138.77067     0.08550    -0.02448     0.10998     0.00000
       34.85503      138.77652     0.05470    -0.01863     0.07333     0.00000
       37.49866      138.77954     0.47490     0.00792     0.46698     0.00000
       37.66752      138.78051     0.49190     0.00327     0.48863     0.00000
       34.77607      138.78606     0.06310    -0.00514     0.06824     0.00000
       37.31131      138.78998     0.45910     0.01768     0.44142     0.00000
       34.97057      138.79466     0.06310    -0.01816     0.08126     0.00000
       35.49659      138.81404     0.11010    -0.02080     0.13090     0.00000
       36.99346      138.83084     0.40310     0.00929     0.39381     0.00000
       34.61000      138.83842     0.03890    -0.01941     0.05831     0.00000
       36.59138      138.84789     0.29980    -0.01651     0.31631     0.00000
       36.25903      138.86541     0.23620    -0.01596     0.25216     0.00000
       34.71947      138.87647     0.03800    -0.02601     0.06401     0.00000
       37.77699      138.88044     0.52610    -0.00312     0.52922     0.00000
       35.32160      138.88165     0.09910    -0.01287     0.11197     0.00000
       35.11002      138.90186     0.06060    -0.03122     0.09182     0.00000
       36.69703      138.90626     0.34780     0.00078     0.34702     0.00000
       35.04724      138.90689     0.05060    -0.03593     0.08653     0.00000
       36.14275      138.91242     0.21300    -0.02075     0.23375     0.00000
       37.58974      138.92028     0.54040     0.02210     0.51830     0.00000
       34.86559      138.92225     0.04180    -0.03103     0.07283     0.00000
       34.91611      138.92482     0.03610    -0.04025     0.07635     0.00000
       35.92993      138.92605     0.19580    -0.00030     0.19610     0.00000
       35.20439      138.92835     0.08140    -0.01888     0.10028     0.00000
       37.16604      138.93372     0.48400     0.03400     0.45000     0.00000
       34.69890      138.93933     0.03920    -0.02294     0.06214     0.00000
       36.77806      138.94482     0.39250     0.02139     0.37111     0.00000
       35.75387      138.94999     0.14490    -0.02345     0.16835     0.00000
       35.11417      138.97387     0.06140    -0.03041     0.09181     0.00000
       35.62335      138.97585     0.12220    -0.02747     0.14967     0.00000
       37.89647      138.98886     0.54930    -0.02634     0.57564     0.00000
       34.75135      138.98982     0.04070    -0.02400     0.06470     0.00000
       35.01483      138.99793     0.05180    -0.03144     0.08324     0.00000
       37.46772      138.99801     0.54800     0.02517     0.52283     0.00000
       34.92182      139.01369     0.03600    -0.03992     0.07592     0.00000
       36.39535      139.01671     0.28050    -0.01561     0.29611     0.00000
       37.31987      139.02025     0.52560     0.02284     0.50276     0.00000
       35.51187      139.02578     0.12120    -0.01394     0.13514     0.00000
       35.41535      139.04518     0.10460    -0.01845     0.12305     0.00000
       35.24552      139.04934     0.07950    -0.02450     0.10400     0.00000
       36.53926      139.05673     0.31760    -0.01730     0.33490     0.00000
       37.66230      139.05912     0.60510     0.03227     0.57283     0.00000
       36.83735      139.06085     0.42080     0.01354     0.40726     0.00000
       36.23467      139.06664     0.23340    -0.03215     0.26555     0.00000
       34.94976      139.06990     0.05720    -0.02022     0.07742     0.00000
       37.75206      139.07391     0.59640     0.00641     0.58999     0.00000
       35.98689      139.07569     0.19740    -0.01687     0.21427     0.00000
       35.00685      139.08197     0.06480    -0.01700     0.08180     0.00000
       34.97186      139.10169     0.04520    -0.03359     0.07879     0.00000
       35.14860      139.11044     0.05380    -0.04023     0.09403     0.00000
       37.54034      139.11145     0.62630     0.05453     0.57177     0.00000
       34.87847      139.12436     0.02800    -0.04350     0.07150     0.00000
       34.93931      139.13116     0.04990    -0.02601     0.07591     0.00000
       34.20048      139.13445     0.00260    -0.03425     0.03685     0.00000
       34.23991      139.13757     0.01090    -0.02731     0.03821     0.00000
       35.26860      139.14241     0.07830    -0.02775     0.10605     0.00000
       35.61027      139.15723     0.10750    -0.04320     0.15070     0.00000
       35.33621      139.16260     0.08000    -0.03363     0.11363     0.00000
       35.04063      139.17103     0.05070    -0.03295     0.08365     0.00000
       35.88405      139.18220     0.18170    -0.01765     0.19935     0.00000
       35.42852      139.20487     0.10820    -0.01688     0.12508     0.00000
       34.33312      139.21094     0.00940    -0.03130     0.04070     0.00000
       36.76969      139.22490     0.43210     0.00616     0.42594     0.00000
       37.82816      139.22604     0.70260     0.04446     0.65814     0.00000
       37.15762      139.24711     0.55290     0.01714     0.53576     0.00000
       38.46539      139.25335     0.71290     0.02282     0.69008     0.00000
       36.26769      139.25464     0.28520    -0.00791     0.29311     0.00000
       34.37183      139.25791     0.02980    -0.01175     0.04155     0.00000
       35.30490      139.26269     0.09140    -0.01806     0.10946     0.00000
       35.72376      139.26813     0.16230    -0.00943     0.17173     0.00000
       36.00374      139.26933     0.23150     0.00216     0.22934     0.00000
       34.51963      139.27093     0.02740    -0.02056     0.04796     0.00000
       35.48264      139.32258     0.11030    -0.02237     0.13267     0.00000
       36.42163      139.33039     0.34250    -0.00372     0.34622     0.00000
       36.12095      139.34517     0.25850    -0.00519     0.26369     0.00000
       37.92938      139.35146     0.77510     0.04934     0.72576     0.00000
       34.73761      139.35859     0.06320     0.00478     0.05842     0.00000
       37.30280      139.36435     0.62960     0.01505     0.61455     0.00000
       35.80080      139.36597     0.18380    -0.00551     0.18931     0.00000
       35.39149      139.36606     0.09520    -0.02449     0.11969     0.00000
       35.61643      139.36990     0.14010    -0.01416     0.15426     0.00000
       34.78442      139.38139     0.04500    -0.01599     0.06099     0.00000
       37.03693      139.40223     0.56940     0.01551     0.55389     0.00000
       34.68679      139.43322     0.04310    -0.01088     0.05398     0.00000
       34.76154      139.43402     0.04340    -0.01512     0.05852     0.00000
       42.06050      139.44615     0.08180    -0.03454     0.11634     0.00000
       38.05618      139.46168     0.86960     0.07666     0.79294     0.00000
       35.92550      139.46429     0.21500    -0.00662     0.22162     0.00000
       35.32668      139.46607     0.09280    -0.01737     0.11017     0.00000
       35.52141      139.46784     0.09370    -0.04486     0.13856     0.00000
